Price,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,High,High,High,High,High,High,High,High,High,High,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume
Ticker,CXT,CYD,CYH,CYN,CYTH,CYTHW,CYTK,CZAR,CZFS,CZR,CXT,CYD,CYH,CYN,CYTH,CYTHW,CYTK,CZAR,CZFS,CZR,CXT,CYD,CYH,CYN,CYTH,CYTHW,CYTK,CZAR,CZFS,CZR,CXT,CYD,CYH,CYN,CYTH,CYTHW,CYTK,CZAR,CZFS,CZR,CXT,CYD,CYH,CYN,CYTH,CYTHW,CYTK,CZAR,CZFS,CZR
Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1980-03-17,0.443122923374176,,,,,,,,,,0.45884667519683936,,,,,,,,,,0.443122923374176,,,,,,,,,,0.0,,,,,,,,,,304981,,,,,,,,,
1980-03-18,0.4345461428165436,,,,,,,,,,0.4345461428165436,,,,,,,,,,0.4259697083219831,,,,,,,,,,0.0,,,,,,,,,,537815,,,,,,,,,
1980-03-19,0.4374052584171295,,,,,,,,,,0.4431230159961227,,,,,,,,,,0.43740525841712957,,,,,,,,,,0.0,,,,,,,,,,81984,,,,,,,,,
1980-03-20,0.4402634799480438,,,,,,,,,,0.4402634799480438,,,,,,,,,,0.43740480529048026,,,,,,,,,,0.0,,,,,,,,,,101660,,,,,,,,,
1980-03-21,0.448840856552124,,,,,,,,,,0.451699579404161,,,,,,,,,,0.435975821388061,,,,,,,,,,0.0,,,,,,,,,,685386,,,,,,,,,
1980-03-24,0.44169363379478455,,,,,,,,,,0.44741139312688305,,,,,,,,,,0.44169363379478455,,,,,,,,,,0.0,,,,,,,,,,314819,,,,,,,,,
1980-03-25,0.4345461428165436,,,,,,,,,,0.4345461428165436,,,,,,,,,,0.4259697083219831,,,,,,,,,,0.0,,,,,,,,,,1036278,,,,,,,,,
1980-03-26,0.4374052584171295,,,,,,,,,,0.4431230159961227,,,,,,,,,,0.43740525841712957,,,,,,,,,,0.0,,,,,,,,,,236114,,,,,,,,,
1980-03-27,0.42311087250709534,,,,,,,,,,0.4288282704439508,,,,,,,,,,0.42311087250709534,,,,,,,,,,0.0,,,,,,,,,,475507,,,,,,,,,
1980-03-28,0.42311087250709534,,,,,,,,,,0.42596959382779387,,,,,,,,,,0.4202518382546057,,,,,,,,,,0.0,,,,,,,,,,659152,,,,,,,,,
1980-03-31,0.4173935353755951,,,,,,,,,,0.4259700208675044,,,,,,,,,,0.41167577407028727,,,,,,,,,,0.0,,,,,,,,,,160689,,,,,,,,,
1980-04-01,0.42311087250709534,,,,,,,,,,0.42311087250709534,,,,,,,,,,0.4173931169339072,,,,,,,,,,0.0,,,,,,,,,,147571,,,,,,,,,
1980-04-02,0.42311087250709534,,,,,,,,,,0.4302577875701956,,,,,,,,,,0.4173931169339072,,,,,,,,,,0.0,,,,,,,,,,842796,,,,,,,,,
1980-04-03,0.42311087250709534,,,,,,,,,,0.42311087250709534,,,,,,,,,,0.4216813553808505,,,,,,,,,,0.0,,,,,,,,,,111498,,,,,,,,,
1980-04-07,0.4173935353755951,,,,,,,,,,0.42311129668090286,,,,,,,,,,0.4173935353755951,,,,,,,,,,0.0,,,,,,,,,,373847,,,,,,,,,
1980-04-08,0.4188225269317627,,,,,,,,,,0.4188225269317627,,,,,,,,,,0.411675607593916,,,,,,,,,,0.0,,,,,,,,,,334495,,,,,,,,,
1980-04-09,0.42168134450912476,,,,,,,,,,0.42168134450912476,,,,,,,,,,0.4159635890833509,,,,,,,,,,0.0,,,,,,,,,,206600,,,,,,,,,
1980-04-10,0.4345461428165436,,,,,,,,,,0.4345461428165436,,,,,,,,,,0.4245401461069521,,,,,,,,,,0.0,,,,,,,,,,662431,,,,,,,,,
1980-04-11,0.42882847785949707,,,,,,,,,,0.4345462361982477,,,,,,,,,,0.42882847785949707,,,,,,,,,,0.0,,,,,,,,,,1282230,,,,,,,,,
1980-04-14,0.42882847785949707,,,,,,,,,,0.42882847785949707,,,,,,,,,,0.42882847785949707,,,,,,,,,,0.0,,,,,,,,,,26235,,,,,,,,,
1980-04-15,0.4259697496891022,,,,,,,,,,0.43168750735440414,,,,,,,,,,0.4259697496891022,,,,,,,,,,0.0,,,,,,,,,,183644,,,,,,,,,
1980-04-16,0.4273990988731384,,,,,,,,,,0.4345460137342234,,,,,,,,,,0.4273990988731384,,,,,,,,,,0.0,,,,,,,,,,232835,,,,,,,,,
1980-04-17,0.42311087250709534,,,,,,,,,,0.42739911095403865,,,,,,,,,,0.4216813553808505,,,,,,,,,,0.0,,,,,,,,,,337774,,,,,,,,,
1980-04-18,0.42311087250709534,,,,,,,,,,0.42311087250709534,,,,,,,,,,0.42311087250709534,,,,,,,,,,0.0,,,,,,,,,,19676,,,,,,,,,
1980-04-21,0.4073871374130249,,,,,,,,,,0.4188222913300553,,,,,,,,,,0.4073871374130249,,,,,,,,,,0.0,,,,,,,,,,118057,,,,,,,,,
1980-04-22,0.4202520549297333,,,,,,,,,,0.42311109065629526,,,,,,,,,,0.4145342964085618,,,,,,,,,,0.0,,,,,,,,,,1170732,,,,,,,,,
1980-04-23,0.42168134450912476,,,,,,,,,,0.42596958284550934,,,,,,,,,,0.42168134450912476,,,,,,,,,,0.0,,,,,,,,,,285304,,,,,,,,,
1980-04-24,0.4259697496891022,,,,,,,,,,0.4259697496891022,,,,,,,,,,0.4188224296699404,,,,,,,,,,0.0,,,,,,,,,,22956,,,,,,,,,
1980-04-25,0.42311087250709534,,,,,,,,,,0.42311087250709534,,,,,,,,,,0.42311087250709534,,,,,,,,,,0.0,,,,,,,,,,347612,,,,,,,,,
