Price,Close,Close,Close,Close,Close,Close,Close,High,High,High,High,High,High,High,Low,Low,Low,Low,Low,Low,Low,Open,Open,Open,Open,Open,Open,Open,Volume,Volume,Volume,Volume,Volume,Volume,Volume
Ticker,CZA,D,DALI,DALN,DAO,DAPP,DAPR,CZA,D,DALI,DALN,DAO,DAPP,DAPR,CZA,D,DALI,DALN,DAO,DAPP,DAPR,CZA,D,DALI,DALN,DAO,DAPP,DAPR,CZA,D,DALI,DALN,DAO,DAPP,DAPR
Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1980-03-17,,0.39053624868392944,,,,,,,0.40595215168968973,,,,,,,0.39053624868392944,,,,,,,0.0,,,,,,,375600,,,,,
1980-03-18,,0.40081343054771423,,,,,,,0.40595210347734895,,,,,,,0.39053620230243685,,,,,,,0.0,,,,,,,429000,,,,,
1980-03-19,,0.40081343054771423,,,,,,,0.40595210347734895,,,,,,,0.40081343054771423,,,,,,,0.0,,,,,,,223200,,,,,
1980-03-20,,0.405952125787735,,,,,,,0.4110906813857832,,,,,,,0.4008134525756882,,,,,,,0.0,,,,,,,207300,,,,,
1980-03-21,,0.405952125787735,,,,,,,0.4110906813857832,,,,,,,0.4008134525756882,,,,,,,0.0,,,,,,,305700,,,,,
1980-03-24,,0.39567482471466064,,,,,,,0.40595217231671193,,,,,,,0.39567482471466064,,,,,,,0.0,,,,,,,385500,,,,,
1980-03-25,,0.39567482471466064,,,,,,,0.40081349851568626,,,,,,,0.39053626852764706,,,,,,,0.0,,,,,,,206700,,,,,
1980-03-26,,0.40081343054771423,,,,,,,0.40595210347734895,,,,,,,0.3956747576180795,,,,,,,0.0,,,,,,,131700,,,,,
1980-03-27,,0.38539746403694153,,,,,,,0.39567469053993587,,,,,,,0.38025879197845824,,,,,,,0.0,,,,,,,380400,,,,,
1980-03-28,,0.39053624868392944,,,,,,,0.3956748046098455,,,,,,,0.38539757514400735,,,,,,,0.0,,,,,,,234000,,,,,
1980-03-31,,0.40081343054771423,,,,,,,0.40081343054771423,,,,,,,0.39053620230243685,,,,,,,0.0,,,,,,,172200,,,,,
1980-04-01,,0.4213680326938629,,,,,,,0.4213680326938629,,,,,,,0.4008134572214306,,,,,,,0.0,,,,,,,1267800,,,,,
1980-04-02,,0.4213680326938629,,,,,,,0.4316452616230791,,,,,,,0.4213680326938629,,,,,,,0.0,,,,,,,236400,,,,,
1980-04-03,,0.431645005941391,,,,,,,0.431645005941391,,,,,,,0.4213677830998108,,,,,,,0.0,,,,,,,199500,,,,,
1980-04-07,,0.4213680326938629,,,,,,,0.4316452616230791,,,,,,,0.41622935942225486,,,,,,,0.0,,,,,,,250200,,,,,
1980-04-08,,0.41622933745384216,,,,,,,0.41622933745384216,,,,,,,0.40595210906705387,,,,,,,0.0,,,,,,,513600,,,,,
1980-04-09,,0.431645005941391,,,,,,,0.431645005941391,,,,,,,0.4110904426443004,,,,,,,0.0,,,,,,,222900,,,,,
1980-04-10,,0.44706109166145325,,,,,,,0.44706109166145325,,,,,,,0.43164519194898937,,,,,,,0.0,,,,,,,970200,,,,,
1980-04-11,,0.452199786901474,,,,,,,0.452199786901474,,,,,,,0.447061114200257,,,,,,,0.0,,,,,,,209100,,,,,
1980-04-14,,0.44706109166145325,,,,,,,0.4521997641036016,,,,,,,0.441922419219305,,,,,,,0.0,,,,,,,156600,,,,,
1980-04-15,,0.43678393959999084,,,,,,,0.4470611686399196,,,,,,,0.43678393959999084,,,,,,,0.0,,,,,,,151500,,,,,
1980-04-16,,0.44706109166145325,,,,,,,0.4521997641036016,,,,,,,0.441922419219305,,,,,,,0.0,,,,,,,350100,,,,,
1980-04-17,,0.452199786901474,,,,,,,0.45733834198870404,,,,,,,0.447061114200257,,,,,,,0.0,,,,,,,300300,,,,,
1980-04-18,,0.452199786901474,,,,,,,0.467615687391138,,,,,,,0.452199786901474,,,,,,,0.0,,,,,,,306900,,,,,
1980-04-21,,0.4573381245136261,,,,,,,0.46247679477128406,,,,,,,0.4521995718698992,,,,,,,0.0,,,,,,,212100,,,,,
1980-04-22,,0.452199786901474,,,,,,,0.45733834198870404,,,,,,,0.452199786901474,,,,,,,0.0,,,,,,,275400,,,,,
1980-04-23,,0.4573381245136261,,,,,,,0.46247679477128406,,,,,,,0.4521995718698992,,,,,,,0.0,,,,,,,490800,,,,,
