Price,Close,Close,High,High,Low,Low,Open,Open,Volume,Volume
Ticker,ACU,ADC,ACU,ADC,ACU,ADC,ACU,ADC,ACU,ADC
Date,,,,,,,,,,
1980-03-17,4.539118766784668,,4.584968333518074,,4.539118766784668,,0.0,,500.0,
1980-03-18,4.539118766784668,,4.539118766784668,,4.539118766784668,,4.539118766784668,,0.0,
1980-03-19,4.539118766784668,,4.539118766784668,,4.493268908546826,,0.0,,667.0,
1980-03-20,4.493266582489014,,4.493266582489014,,4.401567204988363,,0.0,,3833.0,
1980-03-21,4.4015703201293945,,4.493269762528859,,4.4015703201293945,,0.0,,1500.0,
1980-03-24,4.4015703201293945,,4.4015703201293945,,4.4015703201293945,,4.4015703201293945,,0.0,
1980-03-25,4.4015703201293945,,4.4015703201293945,,4.4015703201293945,,4.4015703201293945,,0.0,
1980-03-26,4.30987024307251,,4.30987024307251,,4.30987024307251,,0.0,,833.0,
1980-03-27,4.264020919799805,,4.264020919799805,,4.264020919799805,,0.0,,667.0,
1980-03-28,4.172320365905762,,4.2640197754705405,,4.172320365905762,,0.0,,667.0,
1980-03-31,4.080620765686035,,4.218169718028455,,4.080620765686035,,0.0,,333.0,
1980-04-01,4.034771919250488,,4.034771919250488,,4.034771919250488,,0.0,,167.0,
1980-04-02,4.126471042633057,,4.126471042633057,,4.034771627829219,,0.0,,1167.0,
1980-04-03,4.126471042633057,,4.126471042633057,,4.034771627829219,,0.0,,26833.0,
1980-04-07,4.034771919250488,,4.034771919250488,,4.034771919250488,,0.0,,500.0,
1980-04-08,3.943073034286499,,3.9430730342864986,,3.9430730342864986,,0.0,,167.0,
1980-04-09,3.988922119140625,,3.988922119140625,,3.988922119140625,,0.0,,167.0,
1980-04-10,4.034771919250488,,4.034771919250488,,3.9889223542891745,,0.0,,1500.0,
1980-04-11,4.034771919250488,,4.034771919250488,,4.034771919250488,,4.034771919250488,,0.0,
1980-04-14,3.943073034286499,,3.9430730342864986,,3.9430730342864986,,0.0,,500.0,
1980-04-15,3.943073034286499,,3.9430730342864986,,3.9430730342864986,,3.9430730342864986,,0.0,
1980-04-16,4.034771919250488,,4.034771919250488,,4.034771919250488,,0.0,,500.0,
1980-04-17,3.8513729572296143,,3.9430720773743815,,3.8513729572296143,,0.0,,2167.0,
1980-04-18,3.8513729572296143,,3.8513729572296143,,3.8513729572296143,,3.8513729572296143,,0.0,
1980-04-21,3.943073034286499,,3.9430730342864986,,3.9430730342864986,,0.0,,500.0,
1980-04-22,4.172320365905762,,4.218170216440345,,4.034771397310787,,0.0,,1500.0,
1980-04-23,4.355717658996582,,4.401567201963253,,4.218168738592284,,0.0,,1667.0,
1980-04-24,4.4474196434021,,4.49326921324466,,4.355720212212524,,0.0,,1167.0,
1980-04-25,4.584965705871582,,4.584965705871582,,4.493266333453296,,0.0,,667.0,
1980-04-28,4.676666259765625,,4.676666259765625,,4.493267468596643,,0.0,,2167.0,
1980-04-29,4.7225165367126465,,4.7225165367126465,,4.7225165367126465,,0.0,,167.0,
1980-04-30,4.7225165367126465,,4.7225165367126465,,4.630817127052284,,0.0,,1167.0,
1980-05-01,4.768366813659668,,4.768366813659668,,4.722516958977617,,0.0,,5833.0,
1980-05-02,4.7225165367126465,,4.7225165367126465,,4.6766669776346586,,0.0,,833.0,
1980-05-05,4.905915260314941,,4.905915260314941,,4.7683665775916655,,0.0,,2333.0,
1980-05-06,5.135159969329834,,5.135159969329834,,4.951761857074639,,0.0,,3000.0,
1980-05-07,5.22686243057251,,5.272711983391567,,5.135162741925701,,0.0,,5833.0,
1980-05-08,5.272713661193848,,5.272713661193848,,5.181014526376638,,0.0,,1167.0,
1980-05-09,5.22686243057251,,5.22686243057251,,5.181012877753453,,0.0,,1000.0,
1980-05-12,5.043464660644531,,5.181013930047453,,5.043464660644531,,0.0,,1667.0,
1980-05-13,4.951765537261963,,5.043464661541001,,4.951765537261963,,0.0,,1167.0,
1980-05-14,4.814215660095215,,4.814215660095215,,4.814215660095215,,0.0,,1000.0,
1980-05-15,4.768366813659668,,4.860065940014943,,4.768366813659668,,0.0,,3000.0,
1980-05-16,4.768366813659668,,4.768366813659668,,4.67666739579998,,0.0,,500.0,
1980-05-19,4.814215660095215,,4.814215660095215,,4.814215660095215,,0.0,,167.0,
1980-05-20,4.7225165367126465,,4.7225165367126465,,4.7225165367126465,,0.0,,167.0,
1980-05-21,4.6308183670043945,,4.6308183670043945,,4.6308183670043945,,0.0,,333.0,
1980-05-22,4.814215660095215,,4.814215660095215,,4.676666699536225,,0.0,,2167.0,
1980-05-23,4.8600640296936035,,4.8600640296936035,,4.81421448453782,,0.0,,6833.0,
1980-05-27,4.8600640296936035,,4.8600640296936035,,4.8600640296936035,,0.0,,1167.0,
1980-05-28,4.951765537261963,,4.997615099401482,,4.860065829974111,,0.0,,1667.0,
1980-05-29,4.951765537261963,,4.951765537261963,,4.860065829974111,,0.0,,16167.0,
1980-05-30,4.997615337371826,,4.997615337371826,,4.9517657730490985,,0.0,,333.0,
1980-06-02,5.135159969329834,,5.181010080402013,,4.997611385138438,,0.0,,2500.0,
1980-06-03,5.181014060974121,,5.27271318755414,,5.181014060974121,,0.0,,1167.0,
1980-06-04,5.135159969329834,,5.226859608465812,,5.135159969329834,,0.0,,1167.0,
1980-06-05,5.135159969329834,,5.135159969329834,,5.135159969329834,,5.135159969329834,,0.0,
1980-06-06,5.181014060974121,,5.181014060974121,,5.181014060974121,,0.0,,167.0,
1980-06-09,5.22686243057251,,5.272711983391567,,5.22686243057251,,0.0,,667.0,
1980-06-10,5.410261631011963,,5.410261631011963,,5.318561935481152,,0.0,,3167.0,
1980-06-11,5.318563461303711,,5.456112752556553,,5.318563461303711,,0.0,,1500.0,
1980-06-12,5.181014060974121,,5.27271318755414,,5.181014060974121,,0.0,,1333.0,
1980-06-13,5.135159969329834,,5.135159969329834,,5.135159969329834,,0.0,,167.0,
1980-06-16,5.181014060974121,,5.181014060974121,,5.181014060974121,,0.0,,167.0,
1980-06-17,5.181014060974121,,5.22686362426413,,5.181014060974121,,0.0,,1000.0,
1980-06-18,5.181014060974121,,5.181014060974121,,5.181014060974121,,0.0,,500.0,
