Price,Adj Close,Close,Close,High,High,Low,Low,Open,Open,Volume,Volume
Ticker,FHN$E,FHN$E,FINT,FHN$E,FINT,FHN$E,FINT,FHN$E,FINT,FHN$E,FINT
Date,,,,,,,,,,,
2024-12-20,,,25.054000854492188,,25.209999084472656,,25.054000854492188,,25.209999084472656,,10900
2024-12-23,,,25.530000686645508,,25.56999969482422,,25.1200008392334,,25.1200008392334,,1515000
2024-12-24,,,25.226999282836914,,25.229999542236328,,25.13599967956543,,25.13599967956543,,429600
2024-12-26,,,25.260000228881836,,25.290000915527344,,25.19099998474121,,25.19099998474121,,8100
2024-12-27,,,25.19099998474121,,25.229999542236328,,25.1299991607666,,25.19499969482422,,42500
2024-12-30,,,25.041000366210938,,25.079999923706055,,24.944000244140625,,24.975000381469727,,6500
2024-12-31,,,25.016000747680664,,25.110000610351562,,24.989999771118164,,25.110000610351562,,1600
2025-01-02,,,25.003999710083008,,25.100000381469727,,24.979999542236328,,25.100000381469727,,1000
2025-01-03,,,25.114999771118164,,25.139999389648438,,24.989999771118164,,25.079999923706055,,223700
2025-01-06,,,25.256000518798828,,25.371999740600586,,25.256000518798828,,25.31999969482422,,2800
2025-01-07,,,25.197999954223633,,25.288000106811523,,25.18000030517578,,25.260000228881836,,13900
2025-01-08,,,25.128000259399414,,25.128000259399414,,25.030000686645508,,25.030000686645508,,1900
2025-01-10,,,24.7189998626709,,24.770000457763672,,24.709999084472656,,24.72800064086914,,6300
2025-01-13,,,24.61400032043457,,24.61400032043457,,24.53700065612793,,24.540000915527344,,8100
2025-01-14,,,24.73699951171875,,24.73699951171875,,24.649999618530273,,24.729999542236328,,3800
2025-01-15,,,25.02400016784668,,25.030000686645508,,25.0,,25.020000457763672,,3500
2025-01-16,,,25.075000762939453,,25.100000381469727,,25.030000686645508,,25.030000686645508,,16100
2025-01-17,,,25.174999237060547,,25.25,,25.174999237060547,,25.25,,12000
2025-01-21,,,25.520000457763672,,25.520000457763672,,25.3700008392334,,25.3700008392334,,2100
2025-01-22,,,25.4950008392334,,25.531999588012695,,25.4950008392334,,25.520000457763672,,3300
2025-01-23,,,25.6200008392334,,25.6200008392334,,25.520000457763672,,25.520000457763672,,1800
2025-01-24,,,25.718000411987305,,25.75,,25.469999313354492,,25.469999313354492,,8000
2025-01-27,,,25.510000228881836,,25.510000228881836,,25.469999313354492,,25.479999542236328,,5300
2025-01-28,,,25.5310001373291,,25.5310001373291,,25.420000076293945,,25.450000762939453,,4200
2025-01-29,,,25.55699920654297,,25.639999389648438,,25.55699920654297,,25.600000381469727,,6700
2025-01-30,,,25.878000259399414,,25.969999313354492,,25.809999465942383,,25.8700008392334,,23000
2025-01-31,,,25.634000778198242,,25.809999465942383,,25.6299991607666,,25.809999465942383,,2700
2025-02-03,,,25.406999588012695,,25.479999542236328,,25.25,,25.25,,4800
2025-02-04,,,25.725000381469727,,25.7450008392334,,25.690000534057617,,25.690000534057617,,8400
2025-02-05,,,25.865999221801758,,25.8799991607666,,25.510000228881836,,25.510000228881836,,800
2025-02-06,,,25.81999969482422,,25.969999313354492,,25.81999969482422,,25.93000030517578,,6000
2025-02-07,,,25.68000030517578,,26.68000030517578,,25.68000030517578,,26.68000030517578,,5200
2025-02-10,,,25.996999740600586,,26.0049991607666,,25.934999465942383,,25.95199966430664,,4300
2025-02-11,,,26.027999877929688,,26.027999877929688,,25.924999237060547,,25.924999237060547,,1700
2025-02-12,,,26.090999603271484,,26.113000869750977,,25.90999984741211,,25.90999984741211,,1900
2025-02-13,,,26.329999923706055,,26.34000015258789,,26.170000076293945,,26.229999542236328,,3500
2025-02-14,,,26.395000457763672,,26.420000076293945,,26.389999389648438,,26.389999389648438,,2200
2025-02-18,,,26.55299949645996,,26.55900001525879,,26.530000686645508,,26.540000915527344,,1800
2025-02-19,,,26.399999618530273,,26.41900062561035,,26.354999542236328,,26.389999389648438,,2900
2025-02-20,,,26.583999633789062,,26.583999633789062,,26.479999542236328,,26.549999237060547,,6200
2025-02-21,,,26.447999954223633,,26.559999465942383,,26.43000030517578,,26.559999465942383,,2000
2025-02-24,,,26.315000534057617,,26.374000549316406,,26.315000534057617,,26.350000381469727,,1500
2025-02-25,,,26.40399932861328,,26.440000534057617,,26.34000015258789,,26.34000015258789,,5200
2025-02-26,,,26.472999572753906,,26.575000762939453,,26.440000534057617,,26.56999969482422,,1200
2025-02-27,,,26.020000457763672,,26.309999465942383,,26.020000457763672,,26.239999771118164,,2000
2025-02-28,,,25.96500015258789,,25.975000381469727,,25.829999923706055,,25.950000762939453,,4100
2025-03-03,,,25.96299934387207,,26.299999237060547,,25.899999618530273,,26.225000381469727,,3400
2025-03-04,,,26.06599998474121,,26.18000030517578,,25.81999969482422,,25.81999969482422,,4600
2025-03-05,,,26.66900062561035,,26.670000076293945,,26.450000762939453,,26.450000762939453,,1900
2025-03-06,,,26.5049991607666,,26.68000030517578,,26.5049991607666,,26.68000030517578,,3200
2025-03-07,,,26.735000610351562,,26.735000610351562,,26.690000534057617,,26.690000534057617,,1800
2025-03-10,,,26.18000030517578,,26.280000686645508,,26.04599952697754,,26.256000518798828,,3900
2025-03-11,,,26.200000762939453,,26.253000259399414,,25.309999465942383,,25.309999465942383,,2100
2025-03-12,,,26.34600067138672,,26.34600067138672,,26.34000015258789,,26.34000015258789,,4400
2025-03-13,,,26.215999603271484,,26.284000396728516,,26.139999389648438,,26.26300048828125,,800
2025-03-14,,,26.6299991607666,,26.6299991607666,,26.59000015258789,,26.610000610351562,,4300
2025-03-17,,,26.979999542236328,,27.010000228881836,,26.86400032043457,,26.86400032043457,,1600
2025-03-18,,,26.860000610351562,,26.95599937438965,,26.860000610351562,,26.95599937438965,,1200
2025-03-19,,,27.038000106811523,,27.06999969482422,,26.940000534057617,,26.940000534057617,,900
2025-03-20,,,26.84000015258789,,26.840099334716797,,26.809999465942383,,26.84000015258789,,4532
