Price,Close,Close,Close,High,High,High,Low,Low,Low,Open,Open,Open,Volume,Volume,Volume
Ticker,FRPT,FSBW,FSCS,FRPT,FSBW,FSCS,FRPT,FSBW,FSCS,FRPT,FSBW,FSCS,FRPT,FSBW,FSCS
Date,,,,,,,,,,,,,,,
2012-08-16,,4.179446697235107,,,4.179446697235107,,,4.130942527218923,,,4.130942527218923,,,11000,
2012-08-17,,4.179446697235107,,,4.179446697235107,,,4.167320751100281,,,4.179446697235107,,,2000,
2012-08-20,,4.179446697235107,,,4.179446697235107,,,4.179446697235107,,,4.179446697235107,,,1000,
2012-08-21,,4.236035346984863,,,4.236035346984863,,,4.16327927363566,,,4.175405221614372,,,68600,
2012-08-22,,4.308790683746338,,,4.3532531238845795,,,4.272412463806626,,,4.284538794104421,,,40000,
2012-08-23,,4.236035346984863,,,4.341127924072189,,,4.236035346984863,,,4.341127924072189,,,7000,
2012-08-24,,4.2926225662231445,,,4.2926225662231445,,,4.2441184021698515,,,4.2441184021698515,,,11000,
2012-08-27,,4.256245136260986,,,4.292623362417586,,,4.219866910104387,,,4.292623362417586,,,55600,
2012-08-28,,4.284539222717285,,,4.32495917132292,,,4.284539222717285,,,4.2926230582476625,,,42000,
2012-08-29,,4.264327049255371,,,4.284537206787487,,,4.264327049255371,,,4.284537206787487,,,2200,
2012-08-30,,4.324957370758057,,,4.324957370758057,,,4.264327280352666,,,4.316873538593138,,,17200,
2012-08-31,,4.312833786010742,,,4.373463909540299,,,4.312833786010742,,,4.324959733621268,,,23400,
2012-09-04,,4.312833786010742,,,4.312833786010742,,,4.256245388033411,,,4.256245388033411,,,28600,
2012-09-05,,4.3370842933654785,,,4.3370842933654785,,,4.292622242703447,,,4.3007064621748,,,90000,
2012-09-06,,4.329002380371094,,,4.329002380371094,,,4.3128343197305945,,,4.316876431259963,,,17800,
2012-09-07,,4.324957370758057,,,4.33304158839969,,,4.284537438980035,,,4.284537438980035,,,1600,
2012-09-10,,4.324957370758057,,,4.324957370758057,,,4.280495330159218,,,4.32091526193724,,,54400,
2012-09-11,,4.324957370758057,,,4.324957370758057,,,4.304747212130689,,,4.304747212130689,,,18000,
2012-09-12,,4.324957370758057,,,4.328999479578873,,,4.324957370758057,,,4.324957370758057,,,22200,
2012-09-13,,4.320915699005127,,,4.324957808234809,,,4.308789756792833,,,4.324957808234809,,,40000,
2012-09-14,,4.329002380371094,,,4.337086217952858,,,4.316876431259963,,,4.337086217952858,,,41000,
2012-09-17,,4.312833786010742,,,4.3572958509006225,,,4.2845397797605385,,,4.2845397797605385,,,9800,
2012-09-18,,4.357293128967285,,,4.357293128967285,,,4.256242729224689,,,4.256242729224689,,,11400,
2012-09-19,,4.3370842933654785,,,4.3370842933654785,,,4.329000459370928,,,4.3370842933654785,,,1600,
2012-09-20,,4.377506256103516,,,4.377506256103516,,,4.33304418882133,,,4.33304418882133,,,12000,
2012-09-21,,4.3370842933654785,,,4.405798616964763,,,4.3370842933654785,,,4.365378676038408,,,34200,
2012-09-24,,4.405797481536865,,,4.405797481536865,,,4.353251610421998,,,4.361335442333246,,,30800,
2012-09-25,,4.389629364013672,,,4.389629364013672,,,4.349209434132238,,,4.365377483180151,,,18800,
