Price,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume
Ticker,BDVG,EBMT,EBND,EBON,EBR,EBTC,EC,ECAT,ECBK,ECC,ECCC,ECCV,ECCW,PLL,PLTM,PLYA,BDVG,EBMT,EBND,EBON,EBR,EBTC,EC,ECAT,ECBK,ECC,ECCC,ECCV,ECCW,PLL,PLTM,PLYA,BDVG,EBMT,EBND,EBON,EBR,EBTC,EC,ECAT,ECBK,ECC,ECCC,ECCV,ECCW,PLL,PLTM,PLYA,BDVG,EBMT,EBND,EBON,EBR,EBTC,EC,ECAT,ECBK,ECC,ECCC,ECCV,ECCW,PLL,PLTM,PLYA,BDVG,EBMT,EBND,EBON,EBR,EBTC,EC,ECAT,ECBK,ECC,ECCC,ECCV,ECCW,PLL,PLTM,PLYA
Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-04-06,,1.1585043668746948,,,,,,,,,,,,,,,,1.3629464156610125,,,,,,,,,,,,,,,,1.1585043668746948,,,,,,,,,,,,,,,,1.2266517987912442,,,,,,,,,,,,,,,,16720,,,,,,,,,,,,,,
2000-04-07,,1.3629463911056519,,,,,,,,,,,,,,,,1.362946391105652,,,,,,,,,,,,,,,,1.2266517766914193,,,,,,,,,,,,,,,,1.2266517766914193,,,,,,,,,,,,,,,,4560,,,,,,,,,,,,,,
2000-04-10,,1.090356469154358,,,,,,,,,,,,,,,,1.1585037407589054,,,,,,,,,,,,,,,,1.090356469154358,,,,,,,,,,,,,,,,1.1585037407589054,,,,,,,,,,,,,,,,3800,,,,,,,,,,,,,,
2000-04-11,,1.090356469154358,,,,,,,,,,,,,,,,1.090356469154358,,,,,,,,,,,,,,,,1.090356469154358,,,,,,,,,,,,,,,,1.090356469154358,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,
2000-04-12,,1.098875641822815,,,,,,,,,,,,,,,,1.098875641822815,,,,,,,,,,,,,,,,1.098875641822815,,,,,,,,,,,,,,,,1.098875641822815,,,,,,,,,,,,,,,,3800,,,,,,,,,,,,,,
2000-04-13,,1.098875641822815,,,,,,,,,,,,,,,,1.098875641822815,,,,,,,,,,,,,,,,1.098875641822815,,,,,,,,,,,,,,,,1.098875641822815,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,
2000-04-14,,1.098875641822815,,,,,,,,,,,,,,,,1.098875641822815,,,,,,,,,,,,,,,,1.098875641822815,,,,,,,,,,,,,,,,1.098875641822815,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,
2000-04-17,,1.098875641822815,,,,,,,,,,,,,,,,1.098875641822815,,,,,,,,,,,,,,,,1.098875641822815,,,,,,,,,,,,,,,,1.098875641822815,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,
2000-04-18,,1.098875641822815,,,,,,,,,,,,,,,,1.098875641822815,,,,,,,,,,,,,,,,1.098875641822815,,,,,,,,,,,,,,,,1.098875641822815,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,
2000-04-19,,1.098875641822815,,,,,,,,,,,,,,,,1.098875641822815,,,,,,,,,,,,,,,,1.098875641822815,,,,,,,,,,,,,,,,1.098875641822815,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,
2000-04-20,,1.098875641822815,,,,,,,,,,,,,,,,1.098875641822815,,,,,,,,,,,,,,,,1.098875641822815,,,,,,,,,,,,,,,,1.098875641822815,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,
2000-04-24,,1.098875641822815,,,,,,,,,,,,,,,,1.098875641822815,,,,,,,,,,,,,,,,1.098875641822815,,,,,,,,,,,,,,,,1.098875641822815,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,
2000-04-25,,1.4140565395355225,,,,,,,,,,,,,,,,1.4140565395355225,,,,,,,,,,,,,,,,1.4140565395355225,,,,,,,,,,,,,,,,1.4140565395355225,,,,,,,,,,,,,,,,3800,,,,,,,,,,,,,,
2000-04-26,,1.090356469154358,,,,,,,,,,,,,,,,1.090356469154358,,,,,,,,,,,,,,,,1.090356469154358,,,,,,,,,,,,,,,,1.090356469154358,,,,,,,,,,,,,,,,760,,,,,,,,,,,,,,
2000-04-27,,1.090356469154358,,,,,,,,,,,,,,,,1.090356469154358,,,,,,,,,,,,,,,,1.090356469154358,,,,,,,,,,,,,,,,1.090356469154358,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,
