Price,Adj Close,Close,Close,Close,High,High,High,Low,Low,Low,Open,Open,Open,Volume,Volume,Volume
Ticker,ENGNW,ENGNW,QUP,RAIN,ENGNW,QUP,RAIN,ENGNW,QUP,RAIN,ENGNW,QUP,RAIN,ENGNW,QUP,RAIN
Date,,,,,,,,,,,,,,,,
2025-01-02,,,,7.300000190734863,,,10.84000015258789,,,4.909999847412109,,,10.479999542236328,,,274600
2025-01-03,,,,5.840000152587891,,,6.460000038146973,,,5.136000156402588,,,5.940000057220459,,,159100
2025-01-06,,,,5.050000190734863,,,5.440000057220459,,,4.400000095367432,,,5.300000190734863,,,60100
2025-01-07,,,,4.989999771118164,,,5.329999923706055,,,4.889999866485596,,,4.989999771118164,,,19400
2025-01-08,,,,4.699999809265137,,,4.949999809265137,,,4.389999866485596,,,4.5,,,25900
2025-01-10,,,,5.449999809265137,,,5.619999885559082,,,4.809999942779541,,,4.920000076293945,,,57400
2025-01-13,,,,5.010000228881836,,,5.420000076293945,,,4.809999942779541,,,5.21999979019165,,,70700
2025-01-14,,,,4.329999923706055,,,5.138000011444092,,,4.224999904632568,,,4.840000152587891,,,9000
2025-01-15,,,,3.859999895095825,,,4.644999980926514,,,3.799999952316284,,,4.329999923706055,,,16000
2025-01-16,,,,3.8259999752044678,,,3.990000009536743,,,3.799999952316284,,,3.9800000190734863,,,3000
2025-01-17,,,,4.122000217437744,,,4.269999980926514,,,3.950000047683716,,,3.950000047683716,,,8000
2025-01-21,,,,4.199999809265137,,,4.239999771118164,,,4.050000190734863,,,4.050000190734863,,,17700
2025-01-22,,,,4.171999931335449,,,4.179999828338623,,,4.059999942779541,,,4.159999847412109,,,10500
2025-01-23,,,,4.139999866485596,,,4.175000190734863,,,4.010000228881836,,,4.175000190734863,,,2600
2025-01-24,,,,3.8949999809265137,,,4.139999866485596,,,3.819999933242798,,,4.139999866485596,,,3800
2025-01-27,,,,4.039999961853027,,,4.235000133514404,,,3.6649999618530273,,,3.799999952316284,,,58800
2025-01-28,,,,3.890000104904175,,,4.239999771118164,,,3.700000047683716,,,3.700000047683716,,,53300
2025-01-29,,,,4.019999980926514,,,4.110000133514404,,,3.450000047683716,,,3.859999895095825,,,48000
2025-01-30,,,,3.859999895095825,,,4.110000133514404,,,3.6600000858306885,,,4.010000228881836,,,32700
2025-01-31,,,,3.739000082015991,,,4.159999847412109,,,3.5999999046325684,,,3.734999895095825,,,13800
2025-02-03,,,,3.680000066757202,,,3.943000078201294,,,3.5799999237060547,,,3.740000009536743,,,17500
2025-02-04,,,,3.6500000953674316,,,3.799999952316284,,,3.5199999809265137,,,3.7300000190734863,,,8200
2025-02-05,,,,3.884999990463257,,,3.9149999618530273,,,3.6500000953674316,,,3.6600000858306885,,,2400
2025-02-06,,,,3.559999942779541,,,3.8299999237060547,,,3.549999952316284,,,3.8299999237060547,,,3200
2025-02-07,,,,3.509999990463257,,,3.6700000762939453,,,3.3459999561309814,,,3.5799999237060547,,,7400
2025-02-10,,,,3.2300000190734863,,,3.609999895095825,,,3.0999999046325684,,,3.450000047683716,,,140900
2025-02-11,,,,3.2899999618530273,,,3.871000051498413,,,3.009999990463257,,,3.5299999713897705,,,159900
2025-02-12,,,,3.4700000286102295,,,3.569999933242798,,,3.0869998931884766,,,3.200000047683716,,,25300
2025-02-13,,,,3.0999999046325684,,,3.3429999351501465,,,3.069999933242798,,,3.299999952316284,,,10200
2025-02-14,,,,2.9600000381469727,,,3.0999999046325684,,,2.9600000381469727,,,3.0999999046325684,,,13800
2025-02-18,,,,2.8299999237060547,,,2.9100000858306885,,,2.5899999141693115,,,2.9000000953674316,,,13800
2025-02-19,,,,2.627000093460083,,,2.7799999713897705,,,2.5999999046325684,,,2.7799999713897705,,,3500
2025-02-20,,,,2.6600000858306885,,,3.2799999713897705,,,2.6589999198913574,,,2.7109999656677246,,,30100
