Price,Adj Close,Close,Close,High,High,Low,Low,Open,Open,Volume,Volume
Ticker,ENGNW,ENGNW,QUP,ENGNW,QUP,ENGNW,QUP,ENGNW,QUP,ENGNW,QUP
Date,,,,,,,,,,,
2025-03-19,,,25.601999282836914,,25.601999282836914,,25.25,,25.3700008392334,,1200
2025-03-20,,,25.739999771118164,,25.739999771118164,,25.739999771118164,,25.739999771118164,,100
