Price,Close,High,Low,Open,Volume
Ticker,AUUD,AUUD,AUUD,AUUD,AUUD
Date,,,,,
2021-06-09,71.0,77.5,60.275001525878906,61.75,8848
2021-06-10,76.0,80.42500305175781,70.0,73.25,8708
2021-06-11,76.25,77.875,72.5,77.5,2264
2021-06-14,71.0,78.0,70.0,77.5,3204
2021-06-15,67.75,70.75,67.5,70.75,1728
2021-06-16,66.25,68.25,63.75,66.25,2840
2021-06-17,69.75,69.75,64.5,65.25,3868
2021-06-18,63.75,70.0,63.75,69.5,4712
2021-06-21,69.25,69.25,63.5,65.25,3044
2021-06-22,75.5,97.5,67.75,77.0,400112
2021-06-23,89.5,116.75,74.0,74.0,756256
2021-06-24,92.5,102.5,85.75,96.375,97896
2021-06-25,102.5,126.5,90.5,90.5,371376
2021-06-28,147.25,161.25,105.5,111.25,1498520
2021-06-29,175.25,232.5,168.75,190.5,2566720
2021-06-30,141.0,158.0,133.75,154.25,225588
2021-07-01,183.75,191.0,139.5,146.125,423824
2021-07-02,185.5,194.75,162.5,183.75,247820
2021-07-06,171.75,210.0,156.0,183.0749969482422,412764
2021-07-07,145.25,174.75,140.77499389648438,165.0,117956
2021-07-08,139.0,152.5,127.5,132.0,69716
2021-07-09,134.25,150.25,132.75,134.75,47268
2021-07-12,124.25,149.75,121.75,135.5,127832
2021-07-13,134.75,144.75,118.75,122.0,217052
2021-07-14,102.75,136.5,99.75,135.0,181244
2021-07-15,95.0,101.75,89.5,100.0,29948
2021-07-16,94.75,100.8499984741211,90.0,96.0,32196
2021-07-19,95.25,100.80000305175781,87.5,91.5,49352
2021-07-20,86.5,99.30000305175781,85.0,99.30000305175781,24652
2021-07-21,92.25,95.75,85.25,91.0,30212
2021-07-22,78.75,93.8499984741211,76.25,90.25,28632
2021-07-23,77.75,79.25,73.75,79.0,18100
2021-07-26,81.75,88.5,78.30000305175781,80.5,23464
2021-07-27,76.0,82.0,72.0,82.0,12460
2021-07-28,86.75,88.5,74.25,75.75,22148
2021-07-29,82.5,89.125,80.5,85.0,9900
2021-07-30,80.75,85.0,77.5,80.75,11580
2021-08-02,85.5,86.75,80.875,82.75,15040
2021-08-03,83.25,86.42500305175781,79.25,86.25,7264
2021-08-04,76.25,82.5,75.25,82.5,9820
2021-08-05,76.0,78.5,74.25,78.5,13428
2021-08-06,79.5,82.75,74.5,76.75,13924
2021-08-09,78.5,82.5,77.5,81.5,9636
2021-08-10,73.25,79.75,72.75,79.25,14248
2021-08-11,69.75,74.0,68.0,74.0,12396
2021-08-12,69.75,73.75,67.0,69.25,17000
2021-08-13,72.5,79.75,68.75,69.75,29972
2021-08-16,77.0,98.5,70.5,73.75,589712
2021-08-17,76.25,77.25,68.5,76.625,39584
2021-08-18,72.0,79.5,69.5,75.5,18028
2021-08-19,68.75,74.75,67.5,71.25,14304
2021-08-20,69.5,70.75,67.5,69.25,13524
2021-08-23,78.0,78.75,68.75,71.25,18508
2021-08-24,77.0,79.5,75.0,78.0,13508
2021-08-25,76.5,79.125,75.0,78.25,5084
2021-08-26,77.5,83.75,76.0,78.0,13868
2021-08-27,75.25,80.0,75.0,77.25,12084
2021-08-30,72.75,78.0,72.5,76.25,15996
2021-08-31,74.75,75.25,70.0,73.25,8428
2021-09-01,74.25,75.25,72.25,75.25,5424
2021-09-02,76.5,77.0,72.75,75.75,5632
2021-09-03,72.0,76.25,72.0,76.0,6532
2021-09-07,74.0,76.25,71.92500305175781,73.25,8356
2021-09-08,71.25,75.0,69.75,75.0,11692
2021-09-09,74.0,74.0,70.0,71.25,7136
2021-09-10,69.75,74.75,68.75,74.75,12192
2021-09-13,69.5,72.0,67.75,70.5,8644
2021-09-14,65.5,69.5,65.25,68.5,7696
2021-09-15,63.5,65.75,62.75,65.5,4792
2021-09-16,78.5,79.25,65.25,66.75,110932
2021-09-17,67.25,76.25,67.25,73.75,21812
2021-09-20,61.25,66.125,60.25,64.0,12396
2021-09-21,60.25,63.25,59.5,63.25,10036
2021-09-22,63.25,68.5,60.5,61.5,21244
2021-09-23,62.25,66.25,62.0,64.25,15064
2021-09-24,60.75,62.75,60.5,62.0,10296
2021-09-27,61.5,62.0,59.75,61.5,7944
2021-09-28,60.25,61.5,59.5,60.5,4568
2021-09-29,63.25,78.75,58.0,61.5,158952
2021-09-30,60.5,68.0,59.75,63.75,18172
2021-10-01,59.0,61.5,58.0,60.75,12484
2021-10-04,55.25,59.125,54.75,58.5,10620
2021-10-05,57.0,59.0,55.0,55.75,10156
2021-10-06,56.5,57.25,55.224998474121094,55.224998474121094,5836
2021-10-07,59.0,60.75,57.0,57.75,13700
2021-10-08,60.25,60.900001525878906,57.25,59.5,6444
2021-10-11,60.75,63.25,60.25,60.25,5528
2021-10-12,60.75,62.25,59.5,61.0,8792
2021-10-13,64.5,65.0,60.5,61.75,13328
2021-10-14,60.5,64.5,60.25,64.5,6048
2021-10-15,61.25,62.25,60.5,60.75,1676
2021-10-18,62.25,62.875,60.5,60.5,3256
2021-10-19,63.0,64.0,60.75,61.75,4088
2021-10-20,62.5,62.75,61.25,61.974998474121094,1916
2021-10-21,61.75,62.5,61.25,62.0,2852
2021-10-22,57.25,61.25,56.0,61.25,11600
2021-10-25,61.0,63.25,58.625,60.75,14076
2021-10-26,60.0,61.5,57.75,59.5,7856
2021-10-27,63.75,64.75,59.25,59.75,17676
2021-10-28,71.25,84.0,61.75,64.5,248952
2021-10-29,67.25,71.0,63.5,69.25,26948
2021-11-01,67.5,76.75,66.25,72.25,37268
2021-11-02,65.25,68.42500305175781,63.75,66.5,19056
2021-11-03,64.5,67.4000015258789,64.0,65.5,10372
2021-11-04,66.0,68.5250015258789,65.0,66.25,11032
2021-11-05,66.5,67.5,64.5,65.75,14000
2021-11-08,67.0,67.25,64.75,66.0,17936
2021-11-09,66.75,70.5,64.5,67.0,20300
2021-11-10,63.0,66.5,62.5,65.25,9500
2021-11-11,63.25,65.25,61.75,62.5,6436
2021-11-12,63.0,65.0,62.0,64.5,7380
2021-11-15,61.75,70.0,61.25,64.25,23264
2021-11-16,57.875,62.5,56.5,61.5,24052
2021-11-17,56.5,58.0,56.25,57.25,9188
2021-11-18,52.0,57.0,51.75,57.0,11468
2021-11-19,53.25,53.25,51.25,52.25,3988
2021-11-22,51.75,53.25,48.75,53.25,11676
2021-11-23,47.75,51.0,46.5,51.0,9868
2021-11-24,53.25,54.0,48.275001525878906,48.5,7212
2021-11-26,51.75,52.25,50.29999923706055,50.5,3612
2021-11-29,56.0,58.0,50.75,51.75,19272
2021-11-30,53.75,56.5,51.5,54.5,14024
2021-12-01,52.0,59.474998474121094,50.04999923706055,54.75,19808
2021-12-02,49.5,52.25,48.5,52.25,13640
2021-12-03,44.75,51.25,44.0,50.0,16888
2021-12-06,44.75,44.92499923706055,41.75,44.25,7396
2021-12-07,47.5,48.75,45.0,45.25,6432
2021-12-08,56.75,58.75,48.25,53.25,749292
2021-12-09,50.75,55.75,50.25,51.0,35428
2021-12-10,54.5,56.0,50.75,55.0,34176
2021-12-13,55.0,57.0,50.75,52.5,23844
2021-12-14,53.25,54.5,52.0,53.5,7812
2021-12-15,52.0,52.525001525878906,49.0,52.25,8524
2021-12-16,49.25,52.5,48.75,51.75,5436
2021-12-17,48.25,51.0,46.75,48.75,10916
2021-12-20,46.75,47.5,45.25,47.04999923706055,6760
2021-12-21,48.25,50.5,46.5,46.5,10700
2021-12-22,48.5,49.25,47.25,47.25,1504
2021-12-23,49.75,50.5,48.25,48.75,2524
2021-12-27,47.5,50.0,47.25,48.0,4564
2021-12-28,46.25,48.25,45.75,47.5,4848
2021-12-29,44.5,47.625,44.0,46.0,10028
2021-12-30,46.0,47.5,44.0,44.0,6840
2021-12-31,44.5,46.849998474121094,44.5,45.5,6388
2022-01-03,45.0,46.875,44.5,45.75,8592
2022-01-04,45.75,46.54999923706055,44.25,46.25,2188
2022-01-05,43.25,45.75,42.75,45.0,4136
2022-01-06,43.5,44.75,40.75,43.0,4108
2022-01-07,44.25,45.25,43.25,43.25,1564
2022-01-10,42.75,43.349998474121094,41.5,43.0,1488
2022-01-11,47.75,48.75,42.5,42.5,6304
2022-01-12,47.25,48.75,45.75,47.75,3804
2022-01-13,45.25,47.25,45.0,47.25,1276
2022-01-14,45.25,46.0,43.25,45.25,760
2022-01-18,43.5,45.5,43.5,44.5,1224
2022-01-19,43.5,44.75,43.0,43.75,876
2022-01-20,45.75,47.0,45.5,45.5,1948
2022-01-21,43.5,45.25,43.25,45.25,2460
2022-01-24,41.125,43.25,38.849998474121094,42.75,8440
2022-01-25,43.25,43.75,40.25,43.5,1904
2022-01-26,40.75,44.5,40.224998474121094,44.25,6532
2022-01-27,38.25,40.75,38.25,40.0,2776
2022-01-28,38.25,40.0,37.150001525878906,40.0,1896
2022-01-31,41.75,42.875,38.5,38.5,1424
2022-02-01,43.75,45.0,42.5,43.75,1944
2022-02-02,41.75,45.0,39.75,44.5,1976
2022-02-03,41.25,41.75,39.75,41.5,1200
2022-02-04,44.0,45.0,40.25,41.25,1360
2022-02-07,47.25,48.75,44.0,45.0,3248
2022-02-08,48.5,48.5,46.25,47.0,632
2022-02-09,50.75,52.125,47.5,48.75,3816
2022-02-10,52.25,54.25,50.349998474121094,51.5,9216
2022-02-11,50.25,54.5,48.75,53.25,5524
2022-02-14,47.75,50.0,46.275001525878906,50.0,2596
2022-02-15,46.5,51.0,45.0,50.75,3340
2022-02-16,44.75,47.75,44.599998474121094,45.5,1476
2022-02-17,44.75,46.75,43.099998474121094,46.75,696
2022-02-18,41.0,44.5,40.0,44.0,1440
2022-02-22,42.0,42.75,41.25,41.25,696
2022-02-23,39.25,42.25,38.25,40.29999923706055,1820
2022-02-24,41.5,41.5,36.07500076293945,38.25,2048
2022-02-25,40.25,43.25,40.07500076293945,40.349998474121094,456
2022-02-28,40.75,43.5,37.75,37.75,864
2022-03-01,41.0,44.25,39.25,40.75,508
2022-03-02,40.0,41.75,38.75,39.75,532
2022-03-03,40.0,42.5,39.45000076293945,41.25,280
2022-03-04,41.0,42.5,39.25,40.25,1072
2022-03-07,39.0,41.25,39.0,40.5,956
2022-03-08,38.25,40.25,38.0,39.75,2044
2022-03-09,40.75,41.5,38.5,40.25,480
2022-03-10,42.5,42.5,39.5,41.0,756
2022-03-11,42.5,42.5,40.0,42.5,164
2022-03-14,41.0,43.0,40.0,43.0,696
2022-03-15,39.25,41.75,39.25,41.75,700
2022-03-16,42.5,43.0,39.5,40.75,860
2022-03-17,43.0,43.5,41.75,43.5,364
2022-03-18,48.0,50.0,42.75,44.0,9032
2022-03-21,49.25,49.75,45.0,47.5,688
2022-03-22,52.0,52.5,47.75,48.75,2840
2022-03-23,48.75,53.75,46.5,49.224998474121094,2516
2022-03-24,47.5,48.25,43.75,47.75,1556
2022-03-25,46.0,47.150001525878906,45.0,47.150001525878906,216
2022-03-28,46.25,46.67499923706055,44.0,45.0,1392
2022-03-29,57.0,59.0,45.5,46.75,89856
2022-03-30,56.0,64.25,53.0,58.0,197284
2022-03-31,51.0,54.75,45.5,53.25,30144
2022-04-01,55.25,55.75,48.25,51.0,18144
2022-04-04,55.5,56.75,53.5,53.5,3528
2022-04-05,55.75,60.0,54.025001525878906,56.25,9952
2022-04-06,55.0,56.25,51.07500076293945,54.0,15788
2022-04-07,57.5,59.5,54.5,54.5,4512
2022-04-08,51.25,56.75,50.25,56.75,6116
2022-04-11,49.25,53.25,46.5,51.75,11712
2022-04-12,54.25,57.0,48.75,48.75,11316
2022-04-13,53.5,55.0,50.0,53.5,1392
2022-04-14,50.5,53.5,50.0,53.5,1612
2022-04-18,49.75,50.5,46.25,50.5,2740
2022-04-19,51.25,54.82500076293945,46.75,47.5,2444
2022-04-20,53.0,54.75,50.75,54.75,920
2022-04-21,51.75,54.0,48.75,52.75,824
2022-04-22,48.25,50.5,46.25,50.25,1932
2022-04-25,49.75,53.5,47.0,48.25,3104
2022-04-26,49.0,50.25,47.95000076293945,49.75,344
2022-04-27,48.75,54.75,47.5,51.5,17812
2022-04-28,51.75,52.25,47.75,50.5,2860
2022-04-29,50.0,52.0,48.75,50.5,1744
2022-05-02,51.0,51.75,48.75,48.75,804
2022-05-03,50.875,51.25,48.75,48.75,560
2022-05-04,49.75,50.25,48.25,50.0,1116
2022-05-05,47.25,49.0,46.25,48.5,2084
2022-05-06,51.0,53.45000076293945,43.25,45.5,6900
2022-05-09,46.5,52.0,43.75,48.75,4376
2022-05-10,43.75,49.5,38.75,45.0,22580
2022-05-11,38.25,44.0,37.5,43.75,10352
2022-05-12,36.75,40.25,36.25,38.25,5452
2022-05-13,34.75,37.5,34.0,36.25,7464
2022-05-16,35.75,38.25,33.75,36.125,3812
2022-05-17,33.25,36.0,32.5,36.0,6048
2022-05-18,28.0,35.0,26.0,35.0,13012
2022-05-19,23.225000381469727,29.75,20.649999618530273,27.25,21516
2022-05-20,22.5,25.25,21.25,23.75,6304
2022-05-23,22.524999618530273,24.75,21.375,23.625,4068
2022-05-24,21.875,23.375,21.5,23.375,1100
2022-05-25,23.25,24.5,21.625,23.25,3712
2022-05-26,23.950000762939453,24.625,22.799999237060547,24.625,1580
2022-05-27,25.75,26.5,23.75,25.0,2608
2022-05-31,25.25,26.75,24.600000381469727,25.75,3724
2022-06-01,23.075000762939453,25.75,22.5,24.75,1724
2022-06-02,23.774999618530273,24.350000381469727,22.5,23.325000762939453,860
2022-06-03,23.125,24.950000762939453,22.75,22.75,488
2022-06-06,24.200000762939453,24.450000762939453,23.5,23.75,272
2022-06-07,22.774999618530273,24.25,22.649999618530273,24.25,1000
2022-06-08,24.25,24.25,22.5,22.5,1188
2022-06-09,23.399999618530273,24.25,23.375,23.799999237060547,1556
2022-06-10,22.625,23.825000762939453,22.625,23.225000381469727,336
2022-06-13,22.5,22.75,21.674999237060547,22.5,1532
2022-06-14,22.25,22.5,21.75,22.0,608
2022-06-15,22.0,24.225000381469727,21.5,24.225000381469727,372
2022-06-16,21.975000381469727,22.25,21.5,22.25,704
2022-06-17,23.200000762939453,24.25,22.25,24.25,416
2022-06-21,24.0,24.350000381469727,23.174999237060547,24.350000381469727,620
2022-06-22,23.875,24.0,23.0,24.0,636
2022-06-23,23.25,24.0,23.049999237060547,24.0,1220
2022-06-24,21.725000381469727,23.875,21.725000381469727,23.024999618530273,1144
2022-06-27,22.25,24.0,21.75,21.75,220
2022-06-28,22.100000381469727,23.450000762939453,22.0,23.375,228
2022-06-29,22.475000381469727,22.5,21.5,22.0,328
2022-06-30,21.850000381469727,24.75,21.5,24.75,1228
2022-07-01,22.149999618530273,22.149999618530273,21.5,21.850000381469727,348
2022-07-05,22.375,22.649999618530273,21.5,22.649999618530273,280
2022-07-06,22.174999237060547,22.325000762939453,21.5,21.5,436
