Price,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,High,High,High,High,High,High,High,High,High,High,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume
Ticker,ADMA,BALL,BALT,BAM,BANC,BAND,BANR,BANX,DIVO,DIVS,ADMA,BALL,BALT,BAM,BANC,BAND,BANR,BANX,DIVO,DIVS,ADMA,BALL,BALT,BAM,BANC,BAND,BANR,BANX,DIVO,DIVS,ADMA,BALL,BALT,BAM,BANC,BAND,BANR,BANX,DIVO,DIVS,ADMA,BALL,BALT,BAM,BANC,BAND,BANR,BANX,DIVO,DIVS
Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1973-02-21,,0.12911421060562134,,,,,,,,,,0.12911421060562134,,,,,,,,,,0.12911421060562134,,,,,,,,,,0.12911421060562134,,,,,,,,,,57600,,,,,,,,
1973-02-22,,0.12730856239795685,,,,,,,,,,0.12730856239795685,,,,,,,,,,0.12730856239795685,,,,,,,,,,0.12730856239795685,,,,,,,,,,140800,,,,,,,,
1973-02-23,,0.12189112603664398,,,,,,,,,,0.12189112603664398,,,,,,,,,,0.12189112603664398,,,,,,,,,,0.12189112603664398,,,,,,,,,,288000,,,,,,,,
1973-02-26,,0.11466792225837708,,,,,,,,,,0.11466792225837708,,,,,,,,,,0.11466792225837708,,,,,,,,,,0.11466792225837708,,,,,,,,,,345600,,,,,,,,
1973-02-27,,0.11466792225837708,,,,,,,,,,0.11466792225837708,,,,,,,,,,0.11466792225837708,,,,,,,,,,0.11466792225837708,,,,,,,,,,243200,,,,,,,,
1973-02-28,,0.11737635731697083,,,,,,,,,,0.11737635731697083,,,,,,,,,,0.11737635731697083,,,,,,,,,,0.11737635731697083,,,,,,,,,,179200,,,,,,,,
1973-03-01,,0.11557085067033768,,,,,,,,,,0.11557085067033768,,,,,,,,,,0.11557085067033768,,,,,,,,,,0.11557085067033768,,,,,,,,,,76800,,,,,,,,
1973-03-02,,0.11647360771894455,,,,,,,,,,0.11647360771894455,,,,,,,,,,0.11647360771894455,,,,,,,,,,0.11647360771894455,,,,,,,,,,313600,,,,,,,,
1973-03-05,,0.11827921122312546,,,,,,,,,,0.11827921122312546,,,,,,,,,,0.11827921122312546,,,,,,,,,,0.11827921122312546,,,,,,,,,,569600,,,,,,,,
1973-03-06,,0.12279391288757324,,,,,,,,,,0.12279391288757324,,,,,,,,,,0.12279391288757324,,,,,,,,,,0.12279391288757324,,,,,,,,,,147200,,,,,,,,
1973-03-07,,0.12279391288757324,,,,,,,,,,0.12279391288757324,,,,,,,,,,0.12279391288757324,,,,,,,,,,0.12279391288757324,,,,,,,,,,76800,,,,,,,,
1973-03-08,,0.12279391288757324,,,,,,,,,,0.12279391288757324,,,,,,,,,,0.12279391288757324,,,,,,,,,,0.12279391288757324,,,,,,,,,,51200,,,,,,,,
1973-03-09,,0.11827921122312546,,,,,,,,,,0.11827921122312546,,,,,,,,,,0.11827921122312546,,,,,,,,,,0.11827921122312546,,,,,,,,,,224000,,,,,,,,
1973-03-12,,0.11647360771894455,,,,,,,,,,0.11647360771894455,,,,,,,,,,0.11647360771894455,,,,,,,,,,0.11647360771894455,,,,,,,,,,44800,,,,,,,,
1973-03-13,,0.11647360771894455,,,,,,,,,,0.11647360771894455,,,,,,,,,,0.11647360771894455,,,,,,,,,,0.11647360771894455,,,,,,,,,,64000,,,,,,,,
1973-03-14,,0.11737635731697083,,,,,,,,,,0.11737635731697083,,,,,,,,,,0.11737635731697083,,,,,,,,,,0.11737635731697083,,,,,,,,,,108800,,,,,,,,
