Price,Close,Close,Close,Close,Close,Close,Close,High,High,High,High,High,High,High,Low,Low,Low,Low,Low,Low,Low,Open,Open,Open,Open,Open,Open,Open,Volume,Volume,Volume,Volume,Volume,Volume,Volume
Ticker,A,AA,AAA,AAAU,AACG,AADR,AAL,A,AA,AAA,AAAU,AACG,AADR,AAL,A,AA,AAA,AAAU,AACG,AADR,AAL,A,AA,AAA,AAAU,AACG,AADR,AAL,A,AA,AAA,AAAU,AACG,AADR,AAL
Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1962-01-02,,1.4899284839630127,,,,,,,1.4984749726115716,,,,,,,1.4899284839630127,,,,,,,0.0,,,,,,,55930.0,,,,,
1962-01-03,,1.5127177238464355,,,,,,,1.5127177238464355,,,,,,,1.4870783870423334,,,,,,,1.4899272866610616,,,,,,,74906.0,,,,,
1962-01-04,,1.5127177238464355,,,,,,,1.524112888170233,,,,,,,1.5127177238464355,,,,,,,1.5127177238464355,,,,,,,80899.0,,,,,
1962-01-05,,1.5098694562911987,,,,,,,1.5212647331039248,,,,,,,1.5070207727602878,,,,,,,1.5127182483599262,,,,,,,70911.0,,,,,
1962-01-08,,1.4585896730422974,,,,,,,1.5041706342429089,,,,,,,1.4471945141454399,,,,,,,1.5041706342429089,,,,,,,93883.0,,,,,
1962-01-09,,1.4528931379318237,,,,,,,1.481381164188856,,,,,,,1.4528931379318237,,,,,,,1.458590721475669,,,,,,,64919.0,,,,,
1962-01-10,,1.4557418823242188,,,,,,,1.458590782753634,,,,,,,1.447195615187212,,,,,,,1.452893198970423,,,,,,,34956.0,,,,,
1962-01-11,,1.4471949338912964,,,,,,,1.4500436159040182,,,,,,,1.4414971357148183,,,,,,,1.4500436159040182,,,,,,,27965.0,,,,,
1962-01-12,,1.4130107164382935,,,,,,,1.4500452524683383,,,,,,,1.4130107164382935,,,,,,,1.4471965672405052,,,,,,,26966.0,,,,,
1962-01-15,,1.384521245956421,,,,,,,1.4016142080425686,,,,,,,1.384521245956421,,,,,,,1.4016142080425686,,,,,,,64919.0,,,,,
1962-01-16,,1.3674296140670776,,,,,,,1.3788248961257765,,,,,,,1.3674296140670776,,,,,,,1.3788248961257765,,,,,,,27965.0,,,,,
1962-01-17,,1.3674296140670776,,,,,,,1.3731270922896275,,,,,,,1.3674296140670776,,,,,,,1.3674296140670776,,,,,,,79900.0,,,,,
1962-01-18,,1.3674296140670776,,,,,,,1.3674296140670776,,,,,,,1.3674296140670776,,,,,,,1.3674296140670776,,,,,,,89888.0,,,,,
1962-01-19,,1.3731271028518677,,,,,,,1.381673591596099,,,,,,,1.3674296245854922,,,,,,,1.3674296245854922,,,,,,,100874.0,,,,,
1962-01-22,,1.3788237571716309,,,,,,,1.3987654028984935,,,,,,,1.3788237571716309,,,,,,,1.3788237571716309,,,,,,,69913.0,,,,,
1962-01-23,,1.3702772855758667,,,,,,,1.3930677206912458,,,,,,,1.3702772855758667,,,,,,,1.3788236580424704,,,,,,,34956.0,,,,,
1962-01-24,,1.361731767654419,,,,,,,1.370278254703283,,,,,,,1.3332437307465124,,,,,,,1.370278254703283,,,,,,,45943.0,,,,,
