Price,Close,High,Low,Open,Volume
Ticker,FLOC,FLOC,FLOC,FLOC,FLOC
Date,,,,,
2025-01-16,29.700000762939453,30.0,28.25,29.0,6442400
2025-01-17,30.0,30.0,28.299999237060547,29.5,1157800
2025-01-21,30.25,30.5,29.520000457763672,30.229999542236328,809900
2025-01-22,29.420000076293945,30.239999771118164,29.020000457763672,30.239999771118164,1152900
2025-01-23,29.3700008392334,30.0,29.100000381469727,29.420000076293945,2267900
2025-01-24,28.290000915527344,29.53700065612793,28.290000915527344,29.3700008392334,432900
2025-01-27,28.829999923706055,29.3799991607666,27.860000610351562,28.059999465942383,564900
2025-01-28,28.18000030517578,29.1200008392334,27.899999618530273,29.1200008392334,340900
2025-01-29,29.1299991607666,29.56999969482422,27.020000457763672,27.729999542236328,830200
2025-01-30,28.969999313354492,29.280000686645508,28.743999481201172,29.020000457763672,196400
2025-01-31,28.0,29.219999313354492,27.989999771118164,28.860000610351562,274200
2025-02-03,28.440000534057617,28.489999771118164,27.540000915527344,27.989999771118164,308700
2025-02-04,28.549999237060547,29.09000015258789,28.375999450683594,28.5,303200
2025-02-05,28.329999923706055,28.674999237060547,27.924999237060547,28.610000610351562,180700
2025-02-06,28.5,28.770000457763672,27.899999618530273,28.139999389648438,227700
2025-02-07,28.649999618530273,29.045000076293945,28.3700008392334,28.5,184200
2025-02-10,28.510000228881836,29.139999389648438,28.209999084472656,28.649999618530273,409200
2025-02-11,27.0,28.239999771118164,26.899999618530273,28.239999771118164,427000
2025-02-12,26.950000762939453,27.209999084472656,26.270000457763672,26.809999465942383,387700
2025-02-13,26.25,27.219999313354492,26.184999465942383,27.0,256100
2025-02-14,26.299999237060547,26.510000228881836,25.6200008392334,26.1200008392334,286300
2025-02-18,27.450000762939453,27.559999465942383,26.240999221801758,26.56999969482422,218700
2025-02-19,26.989999771118164,27.645000457763672,26.959999084472656,27.09000015258789,138600
2025-02-20,27.139999389648438,27.540000915527344,26.8700008392334,27.219999313354492,265900
2025-02-21,26.940000534057617,27.43000030517578,26.81999969482422,27.43000030517578,132900
2025-02-24,26.360000610351562,27.079999923706055,26.18000030517578,26.899999618530273,213000
2025-02-25,25.270000457763672,26.549999237060547,25.0,26.389999389648438,558400
2025-02-26,26.440000534057617,26.594999313354492,25.56999969482422,25.56999969482422,256500
2025-02-27,25.690000534057617,26.799999237060547,25.489999771118164,26.799999237060547,299400
2025-02-28,25.799999237060547,26.389999389648438,25.219999313354492,25.8799991607666,399100
2025-03-03,24.770000457763672,26.049999237060547,24.770000457763672,25.809999465942383,202700
2025-03-04,23.790000915527344,24.360000610351562,23.020000457763672,24.209999084472656,288600
2025-03-05,22.850000381469727,23.989999771118164,21.899999618530273,23.6299991607666,421700
2025-03-06,23.40999984741211,23.989999771118164,22.360000610351562,22.610000610351562,531000
2025-03-07,22.719999313354492,23.90999984741211,22.479999542236328,23.420000076293945,519400
2025-03-10,21.860000610351562,23.139999389648438,21.309999465942383,23.139999389648438,690700
2025-03-11,22.510000228881836,22.649999618530273,21.424999237060547,21.690000534057617,324900
2025-03-12,23.350000381469727,23.510000228881836,22.65999984741211,23.040000915527344,206900
2025-03-13,22.860000610351562,23.59000015258789,22.709999084472656,23.280000686645508,251700
2025-03-14,23.209999084472656,23.739999771118164,22.75,22.979999542236328,280000
2025-03-17,24.299999237060547,24.440000534057617,23.059999465942383,23.1299991607666,546800
2025-03-18,24.440000534057617,26.739999771118164,23.110000610351562,24.799999237060547,502300
2025-03-19,24.559999465942383,24.81999969482422,23.75,23.75,621100
2025-03-20,24.479999542236328,24.690000534057617,23.809999465942383,24.420000076293945,518100
2025-03-21,24.549999237060547,24.59000015258789,24.270000457763672,24.260000228881836,8362
